date,origin_park,day_of_the_week,day_name,destination,respondent_type,age_group,vehicle_type,package_size,package_weight,tracking_status,weather_delay_experience,top_challenge,pricing_determination_metric,overall_system_impression,qualitative_suggested_improvements,is_festive_period,fuel_price_per_litre,price
2026/06/03,Ilesha garage Akure,3,Wednesday,Lagos,Sender,18–25,small_car,large,heavy,Sometimes,Sometimes rainfall,Fuel scarcity,"Distance, Weight, Fuel cost combo",Agree,Reduce pricing disputes through transparency,FALSE,1280,"8,500"
2026/06/03,Ilesha garage Akure,3,Wednesday,Ilesha,Sender,36–40,small_car,small,light,Always,Flooding,Inaccurate addresses,Weight of goods,Neutral,Allow cashless payment options,FALSE,1280,"3,500"
2026/06/03,Ilesha garage Akure,3,Wednesday,Lagos,Driver,36–40,small_car,medium,medium,Sometimes,Heavy rain,Criminal activities,"Distance, Weight, Fuel cost combo",Agree,Better customer support when goods are delayed,FALSE,1280,"7,000"
2026/06/03,Northgate Akure,3,Wednesday,Ife,Driver,36–40,big_bus,large,heavy,Always,Heavy rain,Fuel scarcity,Distance only,Agree,Improve fuel subsidy to reduce transport cost,FALSE,1280,"6,500"
2026/06/03,Northgate Akure,3,Wednesday,Ibadan,Driver,36–40,small_car,large,heavy,Always,Flooding,Criminal activities,"Distance, Weight, Fuel cost combo",Neutral,Ensure drivers are vetted properly,FALSE,1280,"5,500"
2026/06/03,Northgate Akure,3,Wednesday,Ibadan,Sender,26–35,big_bus,medium,medium,Rarely,Dust storm,Inaccurate addresses,"Distance, Weight, Dynamic combo",Agree,Fix poor road infrastructure on routes,FALSE,1280,"8,500"
2026/06/03,Northgate Akure,3,Wednesday,Ife,Sender,41–50,small_car,envelope,very_light,Always,Sometimes rainfall,Traffic congestion,"Distance, Weight, Dynamic combo",Strongly Agree,Provide better packaging options,FALSE,1280,"2,000"
2026/06/03,Ondo garage Akure,3,Wednesday,Lagos,Sender,41–50,small_car,large,heavy,Sometimes,None,Fuel scarcity,Type of goods,Neutral,Ensure drivers are vetted properly,FALSE,1280,"9,000"
2026/06/03,Ondo garage Akure,3,Wednesday,Ondo,Sender,26–35,small_car,large,heavy,Rarely,Heavy rain,Poor network connectivity,Type of goods,Agree,Ensure drivers are vetted properly,FALSE,1280,"2,500"
2026/06/03,Ondo garage Akure,3,Wednesday,Benin,Sender,26–35,big_bus,small,light,Rarely,Sometimes rainfall,Fuel scarcity,"Distance, Weight, Dynamic combo",Agree,Reduce delays during festive periods,FALSE,1280,"4,500"
2026/06/03,Ondo garage Akure,3,Wednesday,Benin,Sender,18–25,small_car,medium,medium,Sometimes,Sometimes rainfall,Fuel scarcity,unknown,Strongly Agree,Allow cashless payment options,FALSE,1280,"5,000"
2026/06/03,Ondo garage Akure,3,Wednesday,Ondo,Driver,26–35,small_car,large,heavy,Always,Harmattan,Fuel scarcity,Weight of goods,Agree,Track parcels end-to-end,FALSE,1280,"3,000"
2026/06/03,Ondo garage Akure,3,Wednesday,Benin,Sender,18–25,small_car,medium,medium,Always,None,Traffic congestion,Dynamic pricing,Strongly Agree,Better customer support when goods are delayed,FALSE,1280,"3,000"
2026/06/03,Ondo garage Akure,3,Wednesday,Ondo,Driver,26–35,big_bus,small,light,Never,None,Criminal activities,unknown,Neutral,Reduce pricing disputes through transparency,FALSE,1280,"3,000"
2026/06/03,Roadblock Akure,3,Wednesday,Osogbo,Sender,36–40,small_car,medium,medium,Always,Heavy rain,Pricing disputes,"Distance, Weight, Dynamic combo",unknown,Introduce automated pricing with AI,FALSE,1280,"2,000"
2026/06/03,Roadblock Akure,3,Wednesday,Owo,Sender,18–25,small_car,small,light,Always,Sometimes rainfall,Criminal activities,"Distance, Weight, Fuel cost combo",Agree,Fix poor road infrastructure on routes,FALSE,1280,"2,000"
2026/06/03,Roadblock Akure,3,Wednesday,Benin,Driver,36–40,big_bus,small,light,Sometimes,Sometimes rainfall,Fuel scarcity,Weight of goods,Disagree,Fix poor road infrastructure on routes,FALSE,1280,"5,000"
2026/06/03,Roadblock Akure,3,Wednesday,Osogbo,Sender,41–50,small_car,small,light,Sometimes,Harmattan,Inaccurate addresses,Type of goods,Disagree,Add SMS notifications for delivery status,FALSE,1280,"1,500"
2026/06/03,Southgate Akure,3,Wednesday,Ibadan,Driver,41–50,big_bus,envelope,very_light,Always,Harmattan,Fuel scarcity,Weight of goods,Agree,Track parcels end-to-end,FALSE,1280,"5,000"
2026/06/03,Southgate Akure,3,Wednesday,Ilesha,Driver,unknown,big_bus,medium,medium,Always,Dust storm,Pricing disputes,unknown,unknown,Introduce insurance for goods in transit,FALSE,1280,"5,000"
2026/06/03,Southgate Akure,3,Wednesday,Ibadan,Driver,41–50,small_car,medium,medium,Always,Dust storm,Pricing disputes,Weight of goods,Disagree,Ensure drivers are vetted properly,FALSE,1280,"7,000"
2026/06/03,Southgate Akure,3,Wednesday,Ilesha,Sender,26–35,big_bus,small,light,Sometimes,Flooding,Pricing disputes,Weight of goods,Disagree,Improve communication between drivers and senders,FALSE,1280,"4,000"
2026/06/04,Ilesha garage Akure,4,Thursday,Lagos,Driver,Above 50,big_bus,extra_large,very_heavy,Sometimes,Sometimes rainfall,Police checkpoints,unknown,Agree,Reduce delays during festive periods,FALSE,1280,"10,000"
2026/06/04,Ilesha garage Akure,4,Thursday,Lagos,Sender,26–35,big_bus,medium,medium,Rarely,Dust storm,Criminal activities,"Distance, Weight, Dynamic combo",Agree,Add SMS notifications for delivery status,FALSE,1280,"10,000"
2026/06/04,Ilesha garage Akure,4,Thursday,Ife,Sender,26–35,small_car,medium,medium,Rarely,Flooding,Poor network connectivity,Distance only,Agree,Provide better packaging options,FALSE,1280,"2,600"
2026/06/04,Ilesha garage Akure,4,Thursday,Ibadan,Sender,41–50,small_car,small,light,Sometimes,Sometimes rainfall,Criminal activities,Weight of goods,Agree,Ensure drivers are vetted properly,FALSE,1280,"5,200"
2026/06/04,Ilesha garage Akure,4,Thursday,Ibadan,Sender,41–50,small_car,extra_large,very_heavy,Rarely,Sometimes rainfall,Pricing disputes,Dynamic pricing,Neutral,Allow cashless payment options,FALSE,1280,"7,000"
2026/06/04,Ilesha garage Akure,4,Thursday,Lagos,Driver,26–35,big_bus,extra_large,very_heavy,Always,None,Criminal activities,"Distance, Weight, Fuel cost combo",Neutral,Introduce automated pricing with AI,FALSE,1280,"10,000"
2026/06/04,Ilesha garage Akure,4,Thursday,Ife,Driver,41–50,big_bus,large,heavy,Sometimes,Dust storm,Vehicle breakdown,Distance only,Agree,Improve communication between drivers and senders,FALSE,1280,"6,500"
