day_of_week,respondent_type,overall_system_impression,top_challenge,is_festive_period,age_group,origin_park,source,price,pricing_determination_metric,day_of_the_week,tracking_status,fuel_price_per_litre,destination,package_weight,date,weather_delay_experience,qualitative_suggested_improvements,package_size,origin,day_name,vehicle_type,distance_km,estimated_duration_mins,route_risk
2,Sender,Agree,Fuel scarcity,False,18–25,Ilesha garage Akure,field_survey,8500,"Distance, Weight, Fuel cost combo",3.0,Sometimes,1280.0,Lagos,heavy,2026-06-03,Sometimes rainfall,Reduce pricing disputes through transparency,large,,Wednesday,small_car,0,0,2
2,Sender,Neutral,Inaccurate addresses,False,36–40,Ilesha garage Akure,field_survey,3500,Weight of goods,3.0,Always,1280.0,Ilesha,light,2026-06-03,Flooding,Allow cashless payment options,small,,Wednesday,small_car,0,0,2
2,Driver,Agree,Criminal activities,False,36–40,Ilesha garage Akure,field_survey,7000,"Distance, Weight, Fuel cost combo",3.0,Sometimes,1280.0,Lagos,medium,2026-06-03,Heavy rain,Better customer support when goods are delayed,medium,,Wednesday,small_car,0,0,2
2,Driver,Agree,Fuel scarcity,False,36–40,Northgate Akure,field_survey,6500,Distance only,3.0,Always,1280.0,Ife,heavy,2026-06-03,Heavy rain,Improve fuel subsidy to reduce transport cost,large,,Wednesday,big_bus,0,0,2
2,Driver,Neutral,Criminal activities,False,36–40,Northgate Akure,field_survey,5500,"Distance, Weight, Fuel cost combo",3.0,Always,1280.0,Ibadan,heavy,2026-06-03,Flooding,Ensure drivers are vetted properly,large,,Wednesday,small_car,0,0,2
2,Sender,Agree,Inaccurate addresses,False,26–35,Northgate Akure,field_survey,8500,"Distance, Weight, Dynamic combo",3.0,Rarely,1280.0,Ibadan,medium,2026-06-03,Dust storm,Fix poor road infrastructure on routes,medium,,Wednesday,big_bus,0,0,2
2,Sender,Strongly Agree,Traffic congestion,False,41–50,Northgate Akure,field_survey,2000,"Distance, Weight, Dynamic combo",3.0,Always,1280.0,Ife,very_light,2026-06-03,Sometimes rainfall,Provide better packaging options,envelope,,Wednesday,small_car,0,0,2
2,Sender,Neutral,Fuel scarcity,False,41–50,Ondo garage Akure,field_survey,9000,Type of goods,3.0,Sometimes,1280.0,Lagos,heavy,2026-06-03,,Ensure drivers are vetted properly,large,,Wednesday,small_car,0,0,2
2,Sender,Agree,Poor network connectivity,False,26–35,Ondo garage Akure,field_survey,2500,Type of goods,3.0,Rarely,1280.0,Ondo,heavy,2026-06-03,Heavy rain,Ensure drivers are vetted properly,large,,Wednesday,small_car,0,0,2
2,Sender,Agree,Fuel scarcity,False,26–35,Ondo garage Akure,field_survey,4500,"Distance, Weight, Dynamic combo",3.0,Rarely,1280.0,Benin,light,2026-06-03,Sometimes rainfall,Reduce delays during festive periods,small,,Wednesday,big_bus,0,0,2
2,Sender,Strongly Agree,Fuel scarcity,False,18–25,Ondo garage Akure,field_survey,5000,unknown,3.0,Sometimes,1280.0,Benin,medium,2026-06-03,Sometimes rainfall,Allow cashless payment options,medium,,Wednesday,small_car,0,0,2
2,Driver,Agree,Fuel scarcity,False,26–35,Ondo garage Akure,field_survey,3000,Weight of goods,3.0,Always,1280.0,Ondo,heavy,2026-06-03,Harmattan,Track parcels end-to-end,large,,Wednesday,small_car,0,0,2
2,Sender,Strongly Agree,Traffic congestion,False,18–25,Ondo garage Akure,field_survey,3000,Dynamic pricing,3.0,Always,1280.0,Benin,medium,2026-06-03,,Better customer support when goods are delayed,medium,,Wednesday,small_car,0,0,2
2,Driver,Neutral,Criminal activities,False,26–35,Ondo garage Akure,field_survey,3000,unknown,3.0,Never,1280.0,Ondo,light,2026-06-03,,Reduce pricing disputes through transparency,small,,Wednesday,big_bus,0,0,2
2,Sender,unknown,Pricing disputes,False,36–40,Roadblock Akure,field_survey,2000,"Distance, Weight, Dynamic combo",3.0,Always,1280.0,Osogbo,medium,2026-06-03,Heavy rain,Introduce automated pricing with AI,medium,,Wednesday,small_car,0,0,2
2,Sender,Agree,Criminal activities,False,18–25,Roadblock Akure,field_survey,2000,"Distance, Weight, Fuel cost combo",3.0,Always,1280.0,Owo,light,2026-06-03,Sometimes rainfall,Fix poor road infrastructure on routes,small,,Wednesday,small_car,0,0,2
2,Driver,Disagree,Fuel scarcity,False,36–40,Roadblock Akure,field_survey,5000,Weight of goods,3.0,Sometimes,1280.0,Benin,light,2026-06-03,Sometimes rainfall,Fix poor road infrastructure on routes,small,,Wednesday,big_bus,0,0,2
2,Sender,Disagree,Inaccurate addresses,False,41–50,Roadblock Akure,field_survey,1500,Type of goods,3.0,Sometimes,1280.0,Osogbo,light,2026-06-03,Harmattan,Add SMS notifications for delivery status,small,,Wednesday,small_car,0,0,2
2,Driver,Agree,Fuel scarcity,False,41–50,Southgate Akure,field_survey,5000,Weight of goods,3.0,Always,1280.0,Ibadan,very_light,2026-06-03,Harmattan,Track parcels end-to-end,envelope,,Wednesday,big_bus,0,0,2
2,Driver,unknown,Pricing disputes,False,unknown,Southgate Akure,field_survey,5000,unknown,3.0,Always,1280.0,Ilesha,medium,2026-06-03,Dust storm,Introduce insurance for goods in transit,medium,,Wednesday,big_bus,0,0,2
2,Driver,Disagree,Pricing disputes,False,41–50,Southgate Akure,field_survey,7000,Weight of goods,3.0,Always,1280.0,Ibadan,medium,2026-06-03,Dust storm,Ensure drivers are vetted properly,medium,,Wednesday,small_car,0,0,2
2,Sender,Disagree,Pricing disputes,False,26–35,Southgate Akure,field_survey,4000,Weight of goods,3.0,Sometimes,1280.0,Ilesha,light,2026-06-03,Flooding,Improve communication between drivers and senders,small,,Wednesday,big_bus,0,0,2
3,Driver,Agree,Police checkpoints,False,Above 50,Ilesha garage Akure,field_survey,10000,unknown,4.0,Sometimes,1280.0,Lagos,very_heavy,2026-06-04,Sometimes rainfall,Reduce delays during festive periods,extra_large,,Thursday,big_bus,0,0,2
3,Sender,Agree,Criminal activities,False,26–35,Ilesha garage Akure,field_survey,10000,"Distance, Weight, Dynamic combo",4.0,Rarely,1280.0,Lagos,medium,2026-06-04,Dust storm,Add SMS notifications for delivery status,medium,,Thursday,big_bus,0,0,2
3,Sender,Agree,Poor network connectivity,False,26–35,Ilesha garage Akure,field_survey,2600,Distance only,4.0,Rarely,1280.0,Ife,medium,2026-06-04,Flooding,Provide better packaging options,medium,,Thursday,small_car,0,0,2
3,Sender,Agree,Criminal activities,False,41–50,Ilesha garage Akure,field_survey,5200,Weight of goods,4.0,Sometimes,1280.0,Ibadan,light,2026-06-04,Sometimes rainfall,Ensure drivers are vetted properly,small,,Thursday,small_car,0,0,2
3,Sender,Neutral,Pricing disputes,False,41–50,Ilesha garage Akure,field_survey,7000,Dynamic pricing,4.0,Rarely,1280.0,Ibadan,very_heavy,2026-06-04,Sometimes rainfall,Allow cashless payment options,extra_large,,Thursday,small_car,0,0,2
3,Driver,Neutral,Criminal activities,False,26–35,Ilesha garage Akure,field_survey,10000,"Distance, Weight, Fuel cost combo",4.0,Always,1280.0,Lagos,very_heavy,2026-06-04,,Introduce automated pricing with AI,extra_large,,Thursday,big_bus,0,0,2
3,Driver,Agree,Vehicle breakdown,False,41–50,Ilesha garage Akure,field_survey,6500,Distance only,4.0,Sometimes,1280.0,Ife,heavy,2026-06-04,Dust storm,Improve communication between drivers and senders,large,,Thursday,big_bus,0,0,2
3,Sender,Agree,Fuel scarcity,False,41–50,Ilesha garage Akure,field_survey,6700,"Distance, Weight, Fuel cost combo",4.0,Always,1280.0,Ibadan,light,2026-06-04,,Better customer support when goods are delayed,small,,Thursday,big_bus,0,0,2
3,Driver,Neutral,Inaccurate addresses,False,41–50,Northgate Akure,field_survey,10000,"Distance, Weight, Fuel cost combo",4.0,Sometimes,1280.0,Lagos,medium,2026-06-04,,Provide better packaging options,medium,,Thursday,big_bus,0,0,2
3,Sender,Agree,Vehicle breakdown,False,41–50,Ondo garage Akure,field_survey,5200,"Distance, Weight, Dynamic combo",4.0,Sometimes,1280.0,Ondo,heavy,2026-06-04,Dust storm,Ensure drivers are vetted properly,large,,Thursday,big_bus,0,0,2
3,Driver,Neutral,Poor road infrastructure,False,41–50,Ondo garage Akure,field_survey,7200,Type of goods,4.0,Always,1280.0,Lagos,medium,2026-06-04,Sometimes rainfall,Reduce delays during festive periods,medium,,Thursday,small_car,0,0,2
3,Driver,Strongly Disagree,Poor road infrastructure,False,Above 50,Ondo garage Akure,field_survey,5500,"Distance, Weight, Fuel cost combo",4.0,Always,1280.0,Lagos,light,2026-06-04,Heavy rain,Track parcels end-to-end,small,,Thursday,small_car,0,0,2
3,Sender,Agree,Police checkpoints,False,41–50,Ondo garage Akure,field_survey,10000,Weight of goods,4.0,Always,1280.0,Lagos,medium,2026-06-04,,unknown,medium,,Thursday,big_bus,0,0,2
3,Driver,Agree,Inaccurate addresses,False,36–40,Ondo garage Akure,field_survey,8000,Dynamic pricing,4.0,Rarely,1280.0,Lagos,light,2026-06-04,Heavy rain,Improve communication between drivers and senders,small,,Thursday,small_car,0,0,2
3,Driver,Agree,Poor road infrastructure,False,41–50,Roadblock Akure,field_survey,4000,"Distance, Weight, Fuel cost combo",4.0,Never,1280.0,Benin,light,2026-06-04,Harmattan,Add SMS notifications for delivery status,small,,Thursday,small_car,0,0,2
3,Driver,Agree,Fuel scarcity,False,18–25,Roadblock Akure,field_survey,5000,Type of goods,4.0,Rarely,1280.0,Osogbo,heavy,2026-06-04,,Ensure drivers are vetted properly,large,,Thursday,big_bus,0,0,2
3,Sender,Agree,Traffic congestion,False,41–50,Roadblock Akure,field_survey,5000,Weight of goods,4.0,Always,1280.0,Benin,very_heavy,2026-06-04,Flooding,Provide better packaging options,extra_large,,Thursday,small_car,0,0,2
3,Sender,Agree,Vehicle breakdown,False,36–40,Roadblock Akure,field_survey,5000,unknown,4.0,Always,1280.0,Warri,heavy,2026-06-04,Dust storm,Allow cashless payment options,large,,Thursday,small_car,0,0,2
3,Sender,Neutral,Traffic congestion,False,26–35,Roadblock Akure,field_survey,7000,Distance only,4.0,Sometimes,1280.0,Benin,heavy,2026-06-04,Sometimes rainfall,Track parcels end-to-end,large,,Thursday,big_bus,0,0,2
3,Sender,Agree,Traffic congestion,False,Above 50,Southgate Akure,field_survey,8700,Dynamic pricing,4.0,Rarely,1280.0,Lagos,heavy,2026-06-04,Harmattan,Track parcels end-to-end,large,,Thursday,small_car,0,0,2
3,Sender,Disagree,Inaccurate addresses,False,18–25,Southgate Akure,field_survey,4000,Dynamic pricing,4.0,Always,1280.0,Ife,very_heavy,2026-06-04,Sometimes rainfall,unknown,extra_large,,Thursday,small_car,0,0,2
3,Driver,Neutral,Traffic congestion,False,26–35,Southgate Akure,field_survey,7000,unknown,4.0,Sometimes,1280.0,Ibadan,medium,2026-06-04,Sometimes rainfall,Ensure drivers are vetted properly,medium,,Thursday,small_car,0,0,2
4,Sender,Agree,Fuel scarcity,False,41–50,Ilesha garage Akure,field_survey,5500,Distance only,5.0,Sometimes,1280.0,Ife,heavy,2026-06-05,Dust storm,Fix poor road infrastructure on routes,large,,Friday,small_car,0,0,2
4,Sender,Agree,Poor network connectivity,False,36–40,Ilesha garage Akure,field_survey,3000,Distance only,5.0,Always,1280.0,Ilesha,medium,2026-06-05,,Improve fuel subsidy to reduce transport cost,medium,,Friday,small_car,0,0,2
4,Sender,Neutral,Inaccurate addresses,False,unknown,Ilesha garage Akure,field_survey,10000,Type of goods,5.0,Sometimes,1280.0,Lagos,heavy,2026-06-05,,Reduce pricing disputes through transparency,large,,Friday,small_car,0,0,2
4,Driver,Agree,Pricing disputes,False,36–40,Ilesha garage Akure,field_survey,4000,Distance only,5.0,Always,1280.0,Ibadan,light,2026-06-05,Sometimes rainfall,Allow cashless payment options,small,,Friday,small_car,0,0,2
4,Sender,Strongly Agree,Criminal activities,False,36–40,Ilesha garage Akure,field_survey,2500,Weight of goods,5.0,Rarely,1280.0,Ilesha,light,2026-06-05,,Introduce automated pricing with AI,small,,Friday,small_car,0,0,2
4,Driver,Disagree,Poor road infrastructure,False,unknown,Northgate Akure,field_survey,2500,"Distance, Weight, Fuel cost combo",5.0,Never,1280.0,Ado-Ekiti,light,2026-06-05,Flooding,Introduce automated pricing with AI,small,,Friday,small_car,0,0,2
4,Driver,Agree,Inaccurate addresses,False,26–35,Northgate Akure,field_survey,7500,"Distance, Weight, Dynamic combo",5.0,Always,1280.0,Ife,very_heavy,2026-06-05,Dust storm,Improve communication between drivers and senders,extra_large,,Friday,big_bus,0,0,2
4,Sender,Strongly Agree,Inaccurate addresses,False,36–40,Northgate Akure,field_survey,4500,unknown,5.0,Rarely,1280.0,Ibadan,light,2026-06-05,Heavy rain,Introduce insurance for goods in transit,small,,Friday,small_car,0,0,2
4,Driver,Agree,Police checkpoints,False,41–50,Ondo garage Akure,field_survey,7500,Weight of goods,5.0,Never,1280.0,Warri,medium,2026-06-05,Sometimes rainfall,Provide better packaging options,medium,,Friday,big_bus,0,0,2
4,Driver,Strongly Agree,Traffic congestion,False,41–50,Ondo garage Akure,field_survey,5000,Weight of goods,5.0,Sometimes,1280.0,Ondo,heavy,2026-06-05,Sometimes rainfall,Provide better packaging options,large,,Friday,big_bus,0,0,2
4,Sender,Agree,Criminal activities,False,41–50,Ondo garage Akure,field_survey,6000,Weight of goods,5.0,Always,1280.0,Warri,very_heavy,2026-06-05,Dust storm,Improve communication between drivers and senders,extra_large,,Friday,small_car,0,0,2
4,Driver,Strongly Disagree,Police checkpoints,False,41–50,Ondo garage Akure,field_survey,10000,unknown,5.0,Always,1280.0,Lagos,heavy,2026-06-05,Heavy rain,Better customer support when goods are delayed,large,,Friday,big_bus,0,0,2
4,Driver,Strongly Agree,Vehicle breakdown,False,unknown,Ondo garage Akure,field_survey,2000,Weight of goods,5.0,Always,1280.0,Ondo,medium,2026-06-05,Heavy rain,Real-time tracking will help a lot,medium,,Friday,small_car,0,0,2
4,Driver,unknown,Criminal activities,False,Above 50,Roadblock Akure,field_survey,6500,Distance only,5.0,Always,1280.0,Warri,very_heavy,2026-06-05,Sometimes rainfall,Improve fuel subsidy to reduce transport cost,extra_large,,Friday,small_car,0,0,2
4,Sender,Agree,Criminal activities,False,26–35,Roadblock Akure,field_survey,5000,"Distance, Weight, Fuel cost combo",5.0,Sometimes,1280.0,Warri,very_light,2026-06-05,Heavy rain,Add SMS notifications for delivery status,envelope,,Friday,big_bus,0,0,2
4,Driver,Strongly Agree,Poor road infrastructure,False,Above 50,Roadblock Akure,field_survey,3500,"Distance, Weight, Fuel cost combo",5.0,Rarely,1280.0,Owo,very_heavy,2026-06-05,Dust storm,Add SMS notifications for delivery status,extra_large,,Friday,small_car,0,0,2
4,Driver,Agree,Police checkpoints,False,26–35,Roadblock Akure,field_survey,5000,"Distance, Weight, Fuel cost combo",5.0,Always,1280.0,Osogbo,medium,2026-06-05,Harmattan,Introduce insurance for goods in transit,medium,,Friday,big_bus,0,0,2
4,Driver,Neutral,Traffic congestion,False,26–35,Southgate Akure,field_survey,3500,"Distance, Weight, Fuel cost combo",5.0,Sometimes,1280.0,Ibadan,very_light,2026-06-05,Heavy rain,Improve fuel subsidy to reduce transport cost,envelope,,Friday,small_car,0,0,2
4,Sender,Strongly Agree,Police checkpoints,False,36–40,Southgate Akure,field_survey,5500,"Distance, Weight, Dynamic combo",5.0,Never,1280.0,Ilesha,medium,2026-06-05,Heavy rain,Track parcels end-to-end,medium,,Friday,big_bus,0,0,2
4,Sender,Strongly Agree,Poor road infrastructure,False,26–35,Southgate Akure,field_survey,7500,Weight of goods,5.0,Always,1280.0,Ibadan,medium,2026-06-05,Sometimes rainfall,Provide better packaging options,medium,,Friday,small_car,0,0,2
4,Sender,Neutral,Traffic congestion,False,26–35,Southgate Akure,field_survey,8500,Weight of goods,5.0,Always,1280.0,Ibadan,medium,2026-06-05,Harmattan,Add SMS notifications for delivery status,medium,,Friday,big_bus,0,0,2
4,Sender,Neutral,Police checkpoints,False,18–25,Southgate Akure,field_survey,5000,"Distance, Weight, Dynamic combo",5.0,Sometimes,1280.0,Ilesha,medium,2026-06-05,Harmattan,Reduce pricing disputes through transparency,medium,,Friday,big_bus,0,0,2
4,Sender,Neutral,Police checkpoints,False,26–35,Southgate Akure,field_survey,10000,unknown,5.0,Always,1280.0,Lagos,medium,2026-06-05,Dust storm,Improve communication between drivers and senders,medium,,Friday,big_bus,0,0,2
5,Driver,Agree,Poor network connectivity,False,36–40,Ilesha garage Akure,field_survey,4000,Dynamic pricing,6.0,Always,1280.0,Ibadan,light,2026-06-06,Harmattan,Track parcels end-to-end,small,,Saturday,small_car,0,0,2
5,Sender,Neutral,Police checkpoints,False,unknown,Ilesha garage Akure,field_survey,4000,Weight of goods,6.0,Sometimes,1280.0,Ife,light,2026-06-06,Sometimes rainfall,Real-time tracking will help a lot,small,,Saturday,small_car,0,0,2
